!SIL	sil
0	l iŋ_2
1956	y ii_4 j i əu_3 w uu_3 l i əu_4
1956	y ii_4 q i an_1 j i əu_3 b ai_3 w uu_3 sh iii_2 l i əu_4
1966年世界杯	y au_1 j i əu_3 l i əu_4 l i əu_4 n i an_2 sh iii_4 j ie_4 b ei_1
1973	y au_1 j i əu_3 q ii_1 s an_1
1973	y ii_1 j i əu_3 q ii_1 s an_1
1973	y ii_1 q i an_1 j i əu_3 b ai_3 q ii_1 sh iii_2 s an_1
1973	y ii_4 j i əu_3 q ii_1 s an_1
1973	y ii_4 q i an_1 j i əu_3 b ai_3 q ii_1 sh iii_2 s an_1
1978	y au_1 j i əu_3 q ii_1 b a_1
1978	y ii_1 j i əu_3 q ii_1 b a_1
1978	y ii_1 q i an_1 j i əu_3 b ai_3 q ii_1 sh iii_2 b a_1
1978	y ii_4 j i əu_3 q ii_1 b a_1
1978	y ii_4 q i an_1 j i əu_3 b ai_3 q ii_1 sh iii_2 b a_1
1983	y au_1 j i əu_3 b a_1 s an_1
1983	y ii_1 j i əu_3 b a_1 s an_1
1983	y ii_1 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 s an_1
1983	y ii_4 j i əu_3 b a_1 s an_1
1983	y ii_4 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 s an_1
1983组合	y au_1 j i əu_3 b a_1 s an_1 z uu_3 h ə_2
1985	y au_1 j i əu_3 b a_1 w uu_3
1985	y ii_1 j i əu_3 b a_1 w uu_3
1985	y ii_1 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 w uu_3
1985	y ii_4 j i əu_3 b a_1 w uu_3
1985	y ii_4 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 w uu_3
1986	y au_1 j i əu_3 b a_1 l i əu_4
1986	y ii_1 j i əu_3 b a_1 l i əu_4
1986	y ii_1 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 l i əu_4
1986	y ii_4 j i əu_3 b a_1 l i əu_4
1986	y ii_4 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 l i əu_4
1987	y au_1 j i əu_3 b a_1 q ii_1
1987	y ii_1 j i əu_3 b a_1 q ii_1
1987	y ii_1 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 q ii_1
1987	y ii_4 j i əu_3 b a_1 q ii_1
1987	y ii_4 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 q ii_1
1988	y au_1 j i əu_3 b a_1 b a_1
1988	y ii_1 j i əu_3 b a_1 b a_1
1988	y ii_1 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 b a_1
1988	y ii_4 j i əu_3 b a_1 b a_1
1988	y ii_4 q i an_1 j i əu_3 b ai_3 b a_1 sh iii_2 b a_1
1992	y au_1 j i əu_3 j i əu_3 ər_4
1992	y ii_1 j i əu_3 j i əu_3 ər_4
1992	y ii_1 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 ər_4
1992	y ii_4 j i əu_3 j i əu_3 ər_4
1992	y ii_4 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 ər_4
1993	y au_1 j i əu_3 j i əu_3 s an_1
1993	y ii_1 j i əu_3 j i əu_3 s an_1
1993	y ii_1 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 s an_1
1993	y ii_4 j i əu_3 j i əu_3 s an_1
1993	y ii_4 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 s an_1
1994	y au_1 j i əu_3 j i əu_3 s iii_4
1994	y ii_1 j i əu_3 j i əu_3 s iii_4
1994	y ii_1 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 s iii_4
1994	y ii_4 j i əu_3 j i əu_3 s iii_4
1994	y ii_4 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 s iii_4
1997	y au_1 j i əu_3 j i əu_3 q ii_1
1997	y ii_1 j i əu_3 j i əu_3 q ii_1
1997	y ii_1 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 q ii_1
1997	y ii_4 j i əu_3 j i əu_3 q ii_1
1997	y ii_4 q i an_1 j i əu_3 b ai_3 j i əu_3 sh iii_2 q ii_1
19号公路俱乐部	sh iii_2 j i əu_3 h au_4 g uŋ_1 l uu_4 j yu_4 l ə_4 b uu_4
19岁	sh iii_2 j i əu_3 s u ei_4
19岁的纯情	sh iii_2 j i əu_3 s u ei_4 d ə_0 ch u ən_2 q iŋ_2
19岁的纯情	y au_1 j i əu_3 s u ei_4 d ə_0 ch u ən_2 q iŋ_2
1a	y au_1 ei_4
1a	y ii_1 ei_4
1a	y ii_4 ei_4
1p	y au_1 p ii_4
1p	y ii_1 p ii_4
1p	y ii_4 p ii_4
1tb	y au_1 t ii_4 b ii_1
1tb	y ii_1 t ii_4 b ii_1
1tb	y ii_4 t ii_4 b ii_1
1元云购	y au_1 yu an_2 yu n_2 g əu_4
1号店	y ii_1 h au_4 d i an_4
1司2帝3殿下	y au_1 s iii_1 ər_4 d ii_4 s an_1 d i an_4 x i a_4
1王9帅12宫	y au_1 w aŋ_2 j i əu_3 sh u ai_4 y au_1 ər_4 g uŋ_1
2	ər_4
2000	ər_4 l iŋ_2 l iŋ_2 l iŋ_2
2000	ər_4 q i an_1
200008	ei_4 ər_4 l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 b a_1
200008	ər_4 l iŋ_2 l iŋ_2 l iŋ_2 l iŋ_2 b a_1
2001	ər_4 l iŋ_2 l iŋ_2 y au_1
2001	ər_4 l iŋ_2 l iŋ_2 y ii_1
2001	ər_4 l iŋ_2 l iŋ_2 y ii_4
2001	ər_4 q i an_1 l iŋ_2 y ii_1
2001	ər_4 q i an_1 l iŋ_2 y ii_4
2001太空漫游	ər_4 l iŋ_2 l iŋ_2 y ii_1 t ai_4 k uŋ_1 m an_4 y əu_2
2002年的第一场雪	ər_4 l iŋ_2 l iŋ_2 ər_4 n i an_2 d ə_0 d ii_4 y ii_1 ch aŋ_3 x yue_3
2003	ər_4 l iŋ_2 l iŋ_2 s an_1
2003	ər_4 q i an_1 l iŋ_2 s an_1
2004	ər_4 l iŋ_2 l iŋ_2 s iii_4
2004	ər_4 q i an_1 l iŋ_2 s iii_4
2005	ər_4 l iŋ_2 l iŋ_2 w uu_3
2005	ər_4 q i an_1 l iŋ_2 w uu_3
2006	ər_4 l iŋ_2 l iŋ_2 l i əu_4
2006	ər_4 q i an_1 l iŋ_2 l i əu_4
2007	ər_4 l iŋ_2 l iŋ_2 q ii_1
2007	ər_4 q i an_1 l iŋ_2 q ii_1
2008	ər_4 l iŋ_2 l iŋ_2 b a_1
2008	ər_4 q i an_1 l iŋ_2 b a_1
2008年北京残奥会	ər_4 l iŋ_2 l iŋ_2 b a_1 n i an_2 b ei_3 j iŋ_1 ts an_2 au_4 h u ei_4
2009	ər_4 l iŋ_2 l iŋ_2 j i əu_3
2009	ər_4 q i an_1 l iŋ_2 j i əu_3
